Date,P1,P2,Reg,Ratio,True Ratio,Weight P1,Weight P2,Earnings P1,Earnings P2,Total Daily Earnings,prev_weight_p1,prev_weight_p2,Strategy Daily Returns,Log returns
1995-12-21,9.568916210214656,9.38,0.007497568827893097,1,1.0201403209184068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-12-22,9.54693406837354,9.42,0.0023887055091043052,1,1.0134749541797814,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-12-25,9.54693406837354,9.42,0.0,1,1.0134749541797814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-12-26,9.452138518518517,9.42,0.0038328908557074826,1,1.0034117323268064,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-12-27,9.499525733093956,9.43,0.0003743459162697249,1,1.0073728242941629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995-12-28,9.49527686811551,9.41,-0.0006836939271055442,1,1.0090623664309788,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1995-12-29,9.450249814126394,9.36,0.0029430676278483503,1,1.0096420741588028,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1996-01-01,9.450249814126394,9.36,0.0,1,1.0096420741588028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-02-01,9.60527276775774,9.28,0.007779245622492326,1,1.0350509448014806,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1996-03-01,9.783297180043384,9.19,0.0009500576385077508,1,1.064558996740303,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1996-04-01,9.60990527336466,9.13,-0.00584343874194726,1,1.052563556775976,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1996-05-01,9.502465916710126,9.18,-0.0016040314848071446,1,1.0351270061775737,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-08-01,9.553238322638414,9.05,0.002833665823571252,1,1.0556064444904325,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1996-09-01,9.450260145681582,8.94,-0.01469225373151506,1,1.0570760789353002,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1996-10-01,9.392218917311125,8.77,-0.018164405075994594,1,1.070948565257825,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1996-11-01,9.369683224271267,8.76,0.007026686919578751,1,1.069598541583478,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
1996-12-01,9.259064544913741,8.85,-0.0014778286914216565,1,1.046221982476129,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-15,9.288461538461538,8.91,-0.0032956088416629115,1,1.0424760424760424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-16,9.48862505586176,8.93,0.014252494554622075,1,1.0625559972969496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996-01-17,9.586147698682847,8.81,-0.0033915638628077005,1,1.0880984902023663,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1996-01-18,9.40591808014221,8.94,0.0030792308146105896,1,1.0521161163470034,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
