Date,P1,P2,Reg,Ratio,True Ratio,Weight P1,Weight P2
1990-05-21,11.13526823715415,152.67,0.009429795963902698,6.863006819188524,0.07293684572708556,13.710491453685714,-1.0
1990-05-22,11.378020425531915,155.67,0.0012003965541200756,6.863006819188524,0.07309064319092899,13.681641812725303,-1.0
1990-05-23,11.361041821036109,154.67,0.0023964788819865745,6.863006819188524,0.07345342872590747,13.61406836066856,-1.0
1990-05-24,11.343234545454546,152.33,-0.0024522793395647113,6.863006819188524,0.07446487589742365,13.429150159029517,-1.0
1990-05-25,11.1787884910086,151.67,-0.010743592027007587,6.863006819188524,0.07370467785988397,13.567659869581775,-1.0
1990-05-28,11.130544644253323,151.67,0.0,6.863006819188524,0.0733865935534603,13.626467064062933,-1.0
1990-05-29,11.203199154267816,153.0,0.016973968479446988,6.863006819188524,0.07322352388410337,13.656813370287649,-1.0
1990-05-30,11.338277035881434,156.33,0.0005821125304708019,6.863006819188524,0.07252783877618776,13.787809162298085,-1.0
1990-05-31,11.377533156664068,155.83,0.0010248030920845252,6.863006819188524,0.07301246972126078,13.696290562662696,-1.0
1990-01-06,11.38040432684825,156.67,0.0053286339313194375,6.863006819188524,0.07263933316428321,13.766646201698618,-1.0
1990-04-06,11.442738309859156,155.67,0.011607664277469176,6.863006819188524,0.07350638086888389,13.604261129162893,-1.0
1990-05-06,11.269518533541342,155.33,-0.0020707325801572196,6.863006819188524,0.07255210541132648,13.783197528598322,-1.0
1990-06-06,11.123324988308653,152.0,-0.004592681664790099,6.863006819188524,0.07317976965992534,13.664978786447579,-1.0
1990-07-06,11.147171206225682,151.33,-0.004971786483901397,6.863006819188524,0.07366134412360854,13.575641496874328,-1.0
1990-08-06,11.111085256609643,151.67,-0.012301709452578358,6.863006819188524,0.07325829271846537,13.650331763027035,-1.0
1990-11-06,11.061490568978957,151.67,0.00810732707882078,6.863006819188524,0.07293130196465325,13.711533635922997,-1.0
1990-12-06,11.044036237471087,153.0,0.012694570652858062,6.863006819188524,0.07218324338216396,13.853630747868195,-1.0
1990-06-13,11.159140261337432,153.5,-0.003692816888875683,6.863006819188524,0.07269798215855004,13.755539979349889,-1.0
1990-06-14,11.111712221368178,153.33,-0.005496029223377441,6.863006819188524,0.07246926381900591,13.798953477677502,-1.0
1990-06-15,11.057508747117602,152.0,2.7555420841984812e-05,6.863006819188524,0.07274676807314212,13.74631514893645,-1.0
1990-06-18,11.030480371229698,151.33,-0.016755278819856834,6.863006819188524,0.07289024232623867,13.719257449086912,-1.0
1990-06-19,11.030480371229698,153.67,0.004445383709763107,6.863006819188524,0.07178031086893798,13.931396895534167,-1.0
1990-06-20,11.04395787855496,154.67,0.001755926702264432,6.863006819188524,0.07140336121132061,14.004942947159964,-1.0
1990-06-21,10.935805333333334,153.33,0.0038078342770573315,6.863006819188524,0.071322020043914,14.020915271108215,-1.0
1990-06-22,10.908786666666666,154.0,-0.01408041142081018,6.863006819188524,0.07083627705627706,14.117060375794924,-1.0
1990-06-25,10.871860811017598,154.67,-0.008816854244702022,6.863006819188524,0.07029068863397943,14.226635411231227,-1.0
1990-06-26,10.903984036697247,155.67,-0.0007098542257555351,6.863006819188524,0.07004550675594044,14.276433226249615,-1.0
1990-06-27,10.873435865237365,153.33,0.008710462312862433,6.863006819188524,0.07091525380054368,14.10133851896802,-1.0
1990-06-28,10.81116183626626,151.0,0.0069868544673310495,6.863006819188524,0.07159709825341894,13.967046492030807,-1.0
1990-06-29,10.769200550458716,152.33,0.0010899183640251664,6.863006819188524,0.07069651776051149,14.144968262617367,-1.0
1990-02-07,10.690337872340427,151.67,0.004236585856224551,6.863006819188524,0.07048419511004436,14.187577774545584,-1.0
1990-03-07,10.62044970521542,151.0,0.001722940540152429,6.863006819188524,0.07033410400804914,14.217853687104032,-1.0
1990-04-07,10.573810340136054,151.33,0.0,6.863006819188524,0.06987253247958801,14.31177552197828,-1.0
1990-05-07,10.52717097505669,149.67,-0.012516926942535811,6.863006819188524,0.07033587876699866,14.217494933314125,-1.0
1990-06-07,10.490388099173554,150.67,0.007674032899355865,6.863006819188524,0.06962492931023798,14.362671673879248,-1.0
1990-09-07,10.425306666666666,149.67,0.0030643253217768063,6.863006819188524,0.06965528607380682,14.356412217450359,-1.0
1990-10-07,10.3461485077951,148.33,-0.008463619466974492,6.863006819188524,0.06975088321846624,14.336736021935481,-1.0
1990-11-07,10.486960507841673,151.67,0.01320868560219246,6.863006819188524,0.06914327492478192,14.462722529238862,-1.0
1990-12-07,10.714533333333334,155.33,0.01158723245535409,6.863006819188524,0.06897916264297517,14.497131621846963,-1.0
1990-07-13,11.036680747943155,159.67,0.005104071128479326,6.863006819188524,0.06912181842514659,14.467211985791725,-1.0
1990-07-16,11.082449397769517,161.67,0.004427851037362984,6.863006819188524,0.06854981998991476,14.587930357032635,-1.0
1990-07-17,11.062788044609665,159.67,-0.0038562902526448894,6.863006819188524,0.06928532626423038,14.433070520391926,-1.0
1990-07-18,10.938504195700517,159.67,-0.009019658273114572,6.863006819188524,0.0685069468009051,14.597059812141389,-1.0
1990-07-19,10.957927494423792,158.0,0.0030156011558046814,6.863006819188524,0.06935397148369489,14.41878494636893,-1.0
1990-07-20,11.154946666666666,161.33,-0.010207398820589297,6.863006819188524,0.06914365999297505,14.462641984841406,-1.0
1990-07-23,11.044941736526946,160.67,-0.017575635142593526,6.863006819188524,0.06874302443845738,14.546930516495623,-1.0
1990-07-24,11.078109729729729,163.0,0.0013500212991202076,6.863006819188524,0.06796386337257503,14.713701522793698,-1.0
1990-07-25,11.295263963691378,162.67,0.003647181688481993,6.863006819188524,0.06943667525475736,14.401611199428595,-1.0
1990-07-26,11.154827692307695,159.67,-0.0033099609462103885,6.863006819188524,0.06986176296303435,14.313981748916436,-1.0
1990-07-27,10.965766526946108,158.0,-0.00696415022988095,6.863006819188524,0.06940358561358297,14.408477475035385,-1.0
1990-07-30,10.969139461883406,157.0,0.00595214665772037,6.863006819188524,0.06986713033046756,14.312882113091762,-1.0
1990-07-31,11.132791915852742,158.0,0.0016861040948361605,6.863006819188524,0.07046070832818191,14.192306942790607,-1.0
1990-01-08,11.253833323308271,161.0,-0.0017704839730976474,6.863006819188524,0.06989958585905759,14.30623640626935,-1.0
1990-02-08,11.64036433408578,165.33,-0.011428695823623158,6.863006819188524,0.07040684893295698,14.203163685854241,-1.0
1990-03-08,11.314472048012002,166.67,-0.019014273055656616,6.863006819188524,0.06788547457858045,14.730691745293106,-1.0
1990-06-08,11.233950225563909,164.67,-0.03071094746674241,6.863006819188524,0.06822098879919784,14.658245469637025,-1.0
1990-07-08,11.219486188340808,163.0,0.0011953502304899999,6.863006819188524,0.0688312036094528,14.52829454608966,-1.0
1990-08-08,11.069493333333332,163.67,0.010457922342501647,6.863006819188524,0.06763300136453433,14.785681247681314,-1.0
